"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication et rechapage de pneumatiques (NAF rév. 2, niveau classe, poste 22.11)";"Codes"
"idBank";"010767848";""
"Dernière mise à jour";"05/04/2024 08:45";""
"Période";"";""
"2024-02";"82.82";"A"
"2024-01";"78.89";"A"
"2023-12";"79.43";"A"
"2023-11";"80.49";"A"
"2023-10";"78.45";"A"
"2023-09";"82.1";"A"
"2023-08";"68.4";"A"
"2023-07";"79.81";"A"
"2023-06";"82.6";"A"
"2023-05";"83.16";"A"
"2023-04";"84.74";"A"
"2023-03";"91.46";"A"
"2023-02";"92.81";"A"
"2023-01";"92.87";"A"
"2022-12";"71.34";"A"
"2022-11";"91.38";"A"
"2022-10";"91.22";"A"
"2022-09";"102.37";"A"
"2022-08";"110.76";"A"
"2022-07";"99.97";"A"
"2022-06";"102.18";"A"
"2022-05";"103.06";"A"
"2022-04";"104.11";"A"
"2022-03";"94.7";"A"
"2022-02";"98.51";"A"
"2022-01";"101.06";"A"
"2021-12";"99.38";"A"
"2021-11";"101.47";"A"
"2021-10";"102.6";"A"
"2021-09";"98.67";"A"
"2021-08";"99.69";"A"
"2021-07";"103.25";"A"
"2021-06";"98.91";"A"
"2021-05";"100.92";"A"
"2021-04";"96.25";"A"
"2021-03";"98.79";"A"
"2021-02";"98.08";"A"
"2021-01";"101.98";"A"
"2020-12";"108.99";"A"
"2020-11";"110.07";"A"
"2020-10";"109.15";"A"
"2020-09";"105.47";"A"
"2020-08";"103.94";"A"
"2020-07";"107.89";"A"
"2020-06";"90.03";"A"
"2020-05";"65.5";"A"
"2020-04";"20.16";"A"
"2020-03";"59.7";"A"
"2020-02";"115.62";"A"
"2020-01";"113.73";"A"
"2019-12";"110.79";"A"
"2019-11";"120.24";"A"
"2019-10";"119.84";"A"
"2019-09";"136.79";"A"
"2019-08";"130.8";"A"
"2019-07";"148.92";"A"
"2019-06";"139.22";"A"
"2019-05";"145.45";"A"
"2019-04";"139.32";"A"
"2019-03";"149.73";"A"
"2019-02";"149.42";"A"
"2019-01";"151.16";"A"
"2018-12";"147.57";"A"
"2018-11";"146.33";"A"
"2018-10";"149.61";"A"
"2018-09";"151.02";"A"
"2018-08";"154.07";"A"
"2018-07";"148.05";"A"
"2018-06";"150.56";"A"
"2018-05";"139.73";"A"
"2018-04";"147.7";"A"
"2018-03";"150.29";"A"
"2018-02";"152.73";"A"
"2018-01";"151.38";"A"
"2017-12";"159.75";"A"
"2017-11";"149.16";"A"
"2017-10";"151.61";"A"
"2017-09";"149.76";"A"
"2017-08";"154.96";"A"
"2017-07";"148.93";"A"
"2017-06";"140.66";"A"
"2017-05";"151.88";"A"
"2017-04";"151.73";"A"
"2017-03";"151.28";"A"
"2017-02";"150.5";"A"
"2017-01";"149.61";"A"
"2016-12";"126.42";"A"
"2016-11";"149.49";"A"
"2016-10";"148.99";"A"
"2016-09";"144.77";"A"
"2016-08";"147.61";"A"
"2016-07";"153.53";"A"
"2016-06";"155.1";"A"
"2016-05";"154.99";"A"
"2016-04";"158.53";"A"
"2016-03";"153.07";"A"
"2016-02";"148.42";"A"
"2016-01";"152.84";"A"
"2015-12";"142.62";"A"
"2015-11";"151.9";"A"
"2015-10";"157.54";"A"
"2015-09";"157.89";"A"
"2015-08";"130.38";"A"
"2015-07";"153.07";"A"
"2015-06";"154.0";"A"
"2015-05";"161.2";"A"
"2015-04";"154.47";"A"
"2015-03";"154.11";"A"
"2015-02";"152.37";"A"
"2015-01";"155.29";"A"
"2014-12";"132.4";"A"
"2014-11";"152.58";"A"
"2014-10";"150.21";"A"
"2014-09";"152.83";"A"
"2014-08";"126.31";"A"
"2014-07";"157.33";"A"
"2014-06";"158.64";"A"
"2014-05";"156.22";"A"
"2014-04";"159.41";"A"
"2014-03";"160.66";"A"
"2014-02";"168.94";"A"
"2014-01";"167.64";"A"
"2013-12";"178.78";"A"
"2013-11";"189.71";"A"
"2013-10";"179.7";"A"
"2013-09";"186.59";"A"
"2013-08";"164.56";"A"
"2013-07";"180.51";"A"
"2013-06";"197.66";"A"
"2013-05";"181.88";"A"
"2013-04";"194.94";"A"
"2013-03";"197.36";"A"
"2013-02";"204.72";"A"
"2013-01";"202.94";"A"
"2012-12";"192.58";"A"
"2012-11";"193.47";"A"
"2012-10";"206.16";"A"
"2012-09";"213.58";"A"
"2012-08";"217.14";"A"
"2012-07";"198.5";"A"
"2012-06";"208.54";"A"
"2012-05";"218.6";"A"
"2012-04";"222.51";"A"
"2012-03";"227.86";"A"
"2012-02";"216.43";"A"
"2012-01";"218.48";"A"
"2011-12";"231.3";"A"
"2011-11";"232.86";"A"
"2011-10";"231.96";"A"
"2011-09";"221.66";"A"
"2011-08";"240.12";"A"
"2011-07";"241.21";"A"
"2011-06";"236.88";"A"
"2011-05";"223.5";"A"
"2011-04";"229.51";"A"
"2011-03";"225.83";"A"
"2011-02";"229.31";"A"
"2011-01";"229.68";"A"
"2010-12";"225.77";"A"
"2010-11";"217.45";"A"
"2010-10";"206.87";"A"
"2010-09";"196.7";"A"
"2010-08";"215.85";"A"
"2010-07";"207.91";"A"
"2010-06";"196.52";"A"
"2010-05";"224.17";"A"
"2010-04";"196.2";"A"
"2010-03";"185.97";"A"
"2010-02";"194.16";"A"
"2010-01";"193.95";"A"
"2009-12";"189.36";"A"
"2009-11";"190.62";"A"
"2009-10";"204.0";"A"
"2009-09";"215.34";"A"
"2009-08";"206.25";"A"
"2009-07";"213.28";"A"
"2009-06";"171.8";"A"
"2009-05";"183.74";"A"
"2009-04";"165.79";"A"
"2009-03";"174.02";"A"
"2009-02";"238.82";"A"
"2009-01";"237.59";"A"
